2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL kucoin
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event created DOGEUSDT BUY binance SELL bingx spread=0.3142% net=0.1142% conf=31.2%
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event created DOGEUSDT BUY coinex SELL bingx spread=0.3104% net=0.0095% conf=41.8%
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:05:22 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL kucoin
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY binance SELL bingx
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY bitget SELL bingx
2026-05-19 05:05:28 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY coinex SELL bingx
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL gateio conf=59.7%
2026-05-19 05:05:33 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL kucoin conf=59.7%
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:38 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:05:44 | INFO | arbitrage | Arbitrage event created DOGEUSDT BUY kucoin SELL bingx spread=0.3142% net=0.1087% conf=58.8%
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event updated DOGEUSDT BUY kucoin SELL bingx
2026-05-19 05:05:50 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) INJUSDT BUY bingx SELL kucoin conf=55.3%
2026-05-19 05:05:57 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
